ID,Name,Service,Cadre,Allotment_Year,Date_of_Birth,Date_of_Joining,Source_of_Recruitment,Gender,Place_of_Domicile,Mother_Tongue,Languages_Known,Retired,Retirement_Reason,Source
MH038300,Shri Vijay Kumar Gautam,Indian Administrative Services,Maharashtra ,1987,18-04-1961,24-08-1987,Direct Recruitment,Male,Bihar,Hindi,English,TRUE,N.A.,Supremo
MH038500,Ms. Sujata Saunik,Indian Administrative Services,Maharashtra ,1987,15-06-1965,24-08-1987,Direct Recruitment,Female,Haryana,Hindi,English Hindi Marathi Punjabi,TRUE,N.A.,Supremo
MH038501,Shri Manoj Saunik,Indian Administrative Services,Maharashtra ,1987,02-12-1963,24-08-1987,Direct Recruitment,Male,Bihar,Hindi,English,TRUE,N.A.,Supremo
KN027400,Shri Ajai Seth,Indian Administrative Services,Karnataka ,1987,30-06-1965,24-08-1987,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Kannada,TRUE,N.A.,Supremo
KN027500,Shri Rajeev Chawla,Indian Administrative Services,Karnataka ,1987,06-02-1962,25-08-1987,Direct Recruitment,Male,Uttar Pradesh,Hindi,English,TRUE,N.A.,Supremo
KN027600,Dr. Sandeep Dave,Indian Administrative Services,Karnataka ,1987,18-07-1961,24-08-1987,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Hindi,TRUE,N.A.,Supremo
KN027700,Ms. G Kalpana,Indian Administrative Services,Karnataka ,1987,25-04-1962,24-08-1987,Direct Recruitment,Female,N.A.,Tamil,English Hindi,TRUE,N.A.,Supremo
KN027800,Ms. V Manjula,Indian Administrative Services,Karnataka ,1987,18-05-1964,24-08-1987,Direct Recruitment,Female,Andhra Pradesh,Telugu,English French Hindi Kannada,TRUE,N.A.,Supremo
KN027900,Shri B H Anil Kumar,Indian Administrative Services,Karnataka ,1987,21-07-1962,15-10-1987,Direct Recruitment,Male,Karnataka,Kannada,Hindi Tamil Telugu,TRUE,N.A.,Supremo
KN028000,Shri M Lakshminarayana,Indian Administrative Services,Karnataka ,1987,01-09-1957,24-08-1987,Direct Recruitment,Male,Karnataka,Telugu,English Hindi Kannada Tamil,FALSE,Superannuated,Supremo
JK007500,Shri Sudhanshu Pandey,Indian Administrative Services,Jammu & Kashmir ,1987,08-10-1962,24-08-1987,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Punjabi Urdu,TRUE,N.A.,Supremo
JK007600,Shri Pradip Kumar Tripathi,Indian Administrative Services,Jammu & Kashmir ,1987,18-06-1964,24-08-1987,Direct Recruitment,Male,Uttar Pradesh,Hindi,English,TRUE,N.A.,Supremo
KL017200,Dr. Pradeep Kumar,Indian Administrative Services,Kerala ,1987,01-01-1961,24-08-1987,Direct Recruitment,Male,Bihar,Hindi,English Malayalam,FALSE,Superannuated,Supremo
KL017400,Dr. V P Joy,Indian Administrative Services,Kerala ,1987,30-06-1963,24-08-1987,Direct Recruitment,Male,Kerala,Malayalam,English Hindi,TRUE,N.A.,Supremo
KL017500,Shri Satyajeet Rajan,Indian Administrative Services,Kerala ,1987,26-03-1961,24-08-1987,Direct Recruitment,Male,Kerala,Hindi,English,TRUE,N.A.,Supremo
KL017600,Shri T K Manoj Kumar,Indian Administrative Services,Kerala ,1987,30-10-1961,24-08-1987,Direct Recruitment,Male,Kerala,Malayalam,English Hindi,TRUE,N.A.,Supremo
PB017700,Ms. Vini Mahajan,Indian Administrative Services,Punjab ,1987,21-10-1964,24-08-1987,Direct Recruitment,Female,Punjab,Hindi,English Hindi Punjabi,TRUE,N.A.,Supremo
PB017701,Shri S K Sandhu,Indian Administrative Services,Punjab ,1987,23-05-1959,24-08-1987,Direct Recruitment,Male,Punjab,Punjabi,English Hindi,FALSE,Superannuated,Supremo
PB017800,Shri Viswajeet Khanna,Indian Administrative Services,Punjab ,1987,02-06-1961,24-08-1987,Direct Recruitment,Male,Punjab,Hindi,English Punjabi,TRUE,N.A.,Supremo
RJ026800,Ms. Neel Kamal Darbari,Indian Administrative Services,Rajasthan ,1987,04-02-1963,24-08-1987,Direct Recruitment,Female,Rajasthan,Hindi,English,TRUE,N.A.,Supremo
RJ027000,Shri Prem Singh Mehra,Indian Administrative Services,Rajasthan ,1987,21-02-1958,24-08-1987,Direct Recruitment,Male,Delhi,Hindi,English Gujarati,FALSE,Superannuated,Supremo
RJ027100,Ms. Veenu Gupta,Indian Administrative Services,Rajasthan ,1987,27-12-1963,24-08-1987,Direct Recruitment,Female,Uttar Pradesh,Hindi,English,TRUE,N.A.,Supremo
JH038900,Shri Nagendra Nath Sinha,Indian Administrative Services,Jharkhand ,1987,29-07-1964,24-08-1987,Direct Recruitment,Male,Bihar,Hindi,English,TRUE,N.A.,Supremo
JH039400,Shri Sukhdeo Singh,Indian Administrative Services,Jharkhand ,1987,05-03-1964,24-08-1987,Direct Recruitment,Male,Haryana,Punjabi,English Hindi,TRUE,N.A.,Supremo
JH039600,Shri Indu Shekhar Chaturvedi,Indian Administrative Services,Jharkhand ,1987,24-10-1962,24-08-1987,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Urdu,TRUE,N.A.,Supremo
HY018300,Shri Devender Singh,Indian Administrative Services,Haryana ,1987,31-07-1962,24-08-1987,Direct Recruitment,Male,Delhi,Hindi,English Hindi,TRUE,N.A.,Supremo
HY018400,Shri Amit Jha,Indian Administrative Services,Haryana ,1987,30-06-1962,24-08-1987,Direct Recruitment,Male,Bihar,Hindi,English,TRUE,N.A.,Supremo
HY018500,Shri Trilok Chand Gupta,Indian Administrative Services,Haryana ,1987,28-05-1961,24-08-1987,Direct Recruitment,Male,Delhi,Hindi,English,TRUE,N.A.,Supremo
HY018600,Ms. Jyoti Arora,Indian Administrative Services,Haryana ,1987,15-10-1961,24-08-1987,Direct Recruitment,Female,Haryana,Hindi,English Punjabi,TRUE,N.A.,Supremo
HY018700,Shri Siddhi Nath Roy,Indian Administrative Services,Haryana ,1987,22-10-1962,24-08-1987,Direct Recruitment,Male,Bihar,Hindi,English,TRUE,N.A.,Supremo
HY018701,Shri Rajeev Arora,Indian Administrative Services,Haryana ,1987,22-07-1962,24-08-1987,Direct Recruitment,Male,Punjab,Punjabi,English Hindi,TRUE,N.A.,Supremo
HY018800,Dr. Avtar Singh,Indian Administrative Services,Haryana ,1987,22-10-1955,24-08-1987,Direct Recruitment,Male,Punjab,Punjabi,English Hindi,FALSE,Superannuated,Supremo
GJ025800,Shri Rameshwar Prasad Gupta,Indian Administrative Services,Gujarat ,1987,12-12-1961,24-08-1987,Direct Recruitment,Male,Uttar Pradesh,Hindi,English,TRUE,N.A.,Supremo
GJ025900,Shri Raj Kumar,Indian Administrative Services,Gujarat ,1987,06-01-1965,28-08-1987,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Gujarati,TRUE,N.A.,Supremo
GJ026000,Shri Raj Gopal,Indian Administrative Services,Gujarat ,1987,29-01-1959,24-08-1987,Direct Recruitment,Male,Uttar Pradesh,Hindi,English German Gujarati Hindi Sanskrit,FALSE,Superannuated,Supremo
GJ026200,Shri Lalnunmawia Chuaungo,Indian Administrative Services,Gujarat ,1987,01-03-1962,24-08-1987,Direct Recruitment,Male,Mizoram,Mizo,English Gujarati Hindi,TRUE,N.A.,Supremo
HP010900,Shri Tarun Kapoor,Indian Administrative Services,Himachal Pradesh ,1987,23-11-1961,03-09-1987,Direct Recruitment,Male,Himachal Pradesh,Hindi,English Punjabi,TRUE,N.A.,Supremo
HP011000,Dr. Ram Subhag Singh,Indian Administrative Services,Himachal Pradesh ,1987,31-07-1963,24-08-1987,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Punjabi Urdu,TRUE,N.A.,Supremo
HP011101,Ms. Nisha Singh,Indian Administrative Services,Himachal Pradesh ,1987,02-11-1964,24-08-1987,Direct Recruitment,Female,Punjab,Punjabi,English Hindi,TRUE,N.A.,Supremo
AM021200,Shri M C Jauhari,Indian Administrative Services,Assam Meghalya ,1987,02-08-1962,24-08-1987,Direct Recruitment,Male,Uttar Pradesh,Hindi,English,TRUE,N.A.,Supremo
AM021300,Shri M Srinivas Rao,Indian Administrative Services,Assam Meghalya ,1987,27-09-1961,24-08-1987,Direct Recruitment,Male,Andhra Pradesh,Telugu,English Hindi,TRUE,N.A.,Supremo
AM021400,Dr. Ajay Kumar Singh,Indian Administrative Services,Assam Meghalya ,1987,06-01-1959,24-08-1987,Direct Recruitment,Male,Bihar,Hindi,Assamese Bengali English French Maithili,FALSE,Superannuated,Supremo
AM021600,Shri Ram Mohan Mishra,Indian Administrative Services,Assam Meghalya ,1987,05-06-1961,25-09-1987,Direct Recruitment,Male,Uttar Pradesh,Hindi,English Sanskrit Urdu,TRUE,N.A.,Supremo
AM021700,Shri K Narayana Kumar,Indian Administrative Services,Assam Meghalya ,1987,08-01-1961,24-08-1987,Direct Recruitment,Male,Andhra Pradesh,Telugu,Assamese English Hindi,FALSE,Superannuated,Supremo
AM021800,Shri Pochister Kharkongor,Indian Administrative Services,Assam Meghalya ,1987,25-11-1955,15-08-1987,Direct Recruitment,Male,Meghalaya,Khasi,English,FALSE,Superannuated,Supremo
AP034500,Shri Aditya Nath Das,Indian Administrative Services,Andhra Pradesh ,1987,30-06-1961,25-08-1987,Direct Recruitment,Male,Bihar,Hindi,English Hindi,TRUE,N.A.,Supremo
AP034600,Shri Neerabh Kumar Prasad,Indian Administrative Services,Andhra Pradesh ,1987,05-06-1964,24-08-1987,Direct Recruitment,Male,Bihar,Hindi,English,TRUE,N.A.,Supremo
AP034800,Shri J S Venkateswara Prasad,Indian Administrative Services,Andhra Pradesh ,1987,20-12-1961,31-08-1987,Direct Recruitment,Male,Andhra Pradesh,Telugu,English Hindi Kannada Tamil,TRUE,N.A.,Supremo
BH038700,Shri Amir Subhani,Indian Administrative Services,Bihar ,1987,10-04-1964,24-08-1987,Direct Recruitment,Male,Bihar,Urdu,Arabic Bengali Hindi Persian,TRUE,N.A.,Supremo
BH038800,Shri Atul Prasad,Indian Administrative Services,Bihar ,1987,13-02-1962,24-08-1987,Direct Recruitment,Male,Bihar,Hindi,English,TRUE,N.A.,Supremo
BH039100,Shri Bimbadhar Pradhan,Indian Administrative Services,Bihar ,1987,25-03-1962,24-08-1987,Direct Recruitment,Male,Odisha,Oriya,English Hindi,TRUE,N.A.,Supremo
BH039200,Shri Rajneesh Kumar Mahajan,Indian Administrative Services,Bihar ,1987,05-08-1960,24-08-1987,Direct Recruitment,Male,Himachal Pradesh,Punjabi,English Hindi,FALSE,Superannuated,Supremo
BH039500,Shri Rajesh Bhushan,Indian Administrative Services,Bihar ,1987,31-07-1963,24-08-1987,Direct Recruitment,Male,Uttar Pradesh,Hindi,English,TRUE,N.A.,Supremo
BH039700,Shri Sudhir Kumar,Indian Administrative Services,Bihar ,1987,09-02-1962,24-08-1987,Direct Recruitment,Male,Bihar,Hindi,English,TRUE,N.A.,Supremo
BH039800,Shri S Shiva Kumar,Indian Administrative Services,Bihar ,1987,03-07-1959,24-08-1987,Direct Recruitment,Male,Andhra Pradesh,Telugu,English Hindi,FALSE,Superannuated,Supremo
CG039500,Dr. Chittaranjan Kumar Khaitan,Indian Administrative Services,Chhattisgarh ,1987,02-07-1961,24-08-1987,Direct Recruitment,Male,Bihar,Hindi,English,TRUE,N.A.,Supremo
CG040100,Shri Rajendra Prasad Mandal,Indian Administrative Services,Chhattisgarh ,1987,19-11-1960,24-08-1987,Direct Recruitment,Male,Chhattisgarh,Hindi,English,FALSE,Superannuated,Supremo
CG040203,Shri B V R Subrahmanyam,Indian Administrative Services,Chhattisgarh ,1987,06-09-1962,27-08-1987,Direct Recruitment,Male,Andhra Pradesh,Telugu,English French Hindi,TRUE,N.A.,Supremo
RJ027410,Shri K.P.Singhal,Indian Administrative Services,Rajasthan ,1988,01-01-1942,13-12-1995,By Promotion from State Civil Service,Male,Rajasthan,Hindi,English Hindi,FALSE,Superannuated,Supremo
RJ027411,Shri R N Arvind,Indian Administrative Services,Rajasthan ,1988,03-05-1947,14-02-1994,By Promotion from State Civil Service,Male,Rajasthan,Hindi,English Hindi,FALSE,Superannuated,Supremo
RJ027412,Shri K N Gupta,Indian Administrative Services,Rajasthan ,1988,01-07-1947,14-02-1994,By Promotion from State Civil Service,Male,Rajasthan,Hindi,English Hindi,FALSE,Superannuated,Supremo
RJ027413,Shri M S Khan,Indian Administrative Services,Rajasthan ,1988,27-11-1947,14-02-1994,By Promotion from State Civil Service,Male,Rajasthan,Hindi,English Hindi,FALSE,Superannuated,Supremo
RJ027414,Shri Subhash Bhargava,Indian Administrative Services,Rajasthan ,1988,06-10-1947,14-02-1994,By Promotion from State Civil Service,Male,Rajasthan,Hindi,English Hindi,FALSE,Superannuated,Supremo
RJ027415,Shri Mahendra Kumar Surana,Indian Administrative Services,Rajasthan ,1988,05-05-1948,14-02-1994,By Promotion from State Civil Service,Male,Rajasthan,Hindi,English Hindi,FALSE,Superannuated,Supremo
RJ027416,Shri Ram Rakh,Indian Administrative Services,Rajasthan ,1988,09-04-1947,03-06-1994,By Promotion from State Civil Service,Male,Rajasthan,Hindi,English Hindi,FALSE,Superannuated,Supremo
RJ027417,Shri Babu Lal Jaiman,Indian Administrative Services,Rajasthan ,1988,01-01-1948,03-06-1994,By Promotion from State Civil Service,Male,Rajasthan,Hindi,English Hindi,FALSE,Superannuated,Supremo
RJ027418,Shri R S Gathala,Indian Administrative Services,Rajasthan ,1988,11-06-1948,03-06-1994,By Promotion from State Civil Service,Male,Rajasthan,Hindi,English Hindi,FALSE,Superannuated,Supremo
RJ027419,Shri J. P. Chandeliya,Indian Administrative Services,Rajasthan ,1988,13-03-1951,29-09-1994,By Promotion from State Civil Service,Male,Rajasthan,Hindi,English Hindi,FALSE,Superannuated,Supremo
RJ027420,Shri Tara Chand,Indian Administrative Services,Rajasthan ,1988,17-10-1947,08-09-1994,By Promotion from State Civil Service,Male,Rajasthan,Hindi,English Hindi,FALSE,Superannuated,Supremo
RJ027421,Shri Rajendra Bhanawat,Indian Administrative Services,Rajasthan ,1988,15-09-1952,08-09-1994,By Promotion from State Civil Service,Male,Rajasthan,Hindi,English French Hindi,FALSE,Superannuated,Supremo
RJ027422,Shri J P Sharma,Indian Administrative Services,Rajasthan ,1988,03-06-1946,08-09-1994,By Promotion from State Civil Service,Male,Rajasthan,Hindi,English Hindi,FALSE,Expired,Supremo
RJ027423,Shri Ram Avtar,Indian Administrative Services,Rajasthan ,1988,05-01-1945,17-04-1995,By Selection,Male,Rajasthan,Hindi,English Hindi,FALSE,Superannuated,Supremo
AM022311,Shri Arun Kumar Roy,Indian Administrative Services,Assam Meghalya ,1988,01-11-1937,20-11-1991,N.A.,Male,N.A.,N.A.,N.A.,FALSE,Superannuated,Supremo
AM022312,Shri Asutos Sengupta,Indian Administrative Services,Assam Meghalya ,1988,01-06-1944,27-03-1993,By Promotion from State Civil Service,Male,Assam,N.A.,N.A.,FALSE,Superannuated,Supremo
AM022314,Shri Aftabuddin Ahmed,Indian Administrative Services,Assam Meghalya ,1988,01-09-1945,16-12-1994,By Promotion from State Civil Service,Male,N.A.,N.A.,N.A.,FALSE,Superannuated,Supremo
AM022315,Shri Bir Bhadra Hagjer,Indian Administrative Services,Assam Meghalya ,1988,18-02-1951,09-03-1994,By Promotion from State Civil Service,Male,N.A.,N.A.,N.A.,FALSE,Superannuated,Supremo
AM022316,Shri P Basumatary,Indian Administrative Services,Assam Meghalya ,1988,01-04-1941,09-03-1994,By Promotion from State Civil Service,Male,N.A.,N.A.,N.A.,FALSE,Superannuated,Supremo
AM022317,Shri Hasan Ali,Indian Administrative Services,Assam Meghalya ,1988,27-02-1945,09-03-1994,By Promotion from State Civil Service,Male,Assam,Assamese,Assamese Bengali English Hindi,FALSE,Superannuated,Supremo
AM022318,Shri Manoranjan Das,Indian Administrative Services,Assam Meghalya ,1988,01-07-1946,09-03-1994,By Promotion from State Civil Service,Male,Assam,Assamese,Bengali English Hindi,FALSE,Retired voluntarily,Supremo
AM022319,Shri Pranab Kumar Khound,Indian Administrative Services,Assam Meghalya ,1988,27-02-1947,09-03-1994,By Promotion from State Civil Service,Male,N.A.,N.A.,N.A.,FALSE,Superannuated,Supremo
AM022320,Dr. Sasadhar Nath,Indian Administrative Services,Assam Meghalya ,1988,01-05-1948,27-03-1993,By Promotion from State Civil Service,Male,Assam,N.A.,N.A.,FALSE,Superannuated,Supremo
AM022321,Shri J C Pegu,Indian Administrative Services,Assam Meghalya ,1988,01-02-1945,09-03-1994,By Promotion from State Civil Service,Male,Assam,Assamese,English,FALSE,Expired,Supremo
AM023911,Shri Lambha Roy,Indian Administrative Services,Assam Meghalya ,1988,30-05-1950,03-09-1994,By Promotion from State Civil Service,Male,N.A.,N.A.,English,FALSE,Superannuated,Supremo
AP032718,Dr. C Umamalleswara Rao,Indian Administrative Services,Andhra Pradesh ,1988,15-12-1945,16-12-1988,By Promotion from State Civil Service,Male,Andhra Pradesh,Telugu,English Hindi Telugu,FALSE,Superannuated,Supremo
AP032720,Shri C Umamaheswara Rao,Indian Administrative Services,Andhra Pradesh ,1988,01-06-1948,11-03-1992,By Promotion from State Civil Service,Male,Andhra Pradesh,Telugu,English German Hindi Italian,FALSE,Superannuated,Supremo
AP032723,Shri M Veerabhadraiah,Indian Administrative Services,Andhra Pradesh ,1988,22-03-1950,23-12-1994,By Promotion from State Civil Service,Male,Andhra Pradesh,Telugu,English Hindi,FALSE,Superannuated,Supremo
AP032727,Shri K Ambarish,Indian Administrative Services,Andhra Pradesh ,1988,12-03-1944,11-03-1992,By Promotion from State Civil Service,Male,Andhra Pradesh,N.A.,N.A.,FALSE,Superannuated,Supremo
AP032729,Shri G Nageswara Rao,Indian Administrative Services,Andhra Pradesh ,1988,12-06-1948,03-12-1992,By Promotion from State Civil Service,Male,Andhra Pradesh,Telugu,Hindi Telugu,FALSE,Superannuated,Supremo
AP035611,Shri K Mangapathi Rao,Indian Administrative Services,Andhra Pradesh ,1988,01-08-1949,05-06-1992,By Promotion from State Civil Service,Male,Andhra Pradesh,N.A.,N.A.,FALSE,Superannuated,Supremo
AP035612,Shri G Kishan Rao Ii,Indian Administrative Services,Andhra Pradesh ,1988,20-03-1939,03-12-1992,By Promotion from State Civil Service,Male,Andhra Pradesh,N.A.,N.A.,FALSE,Superannuated,Supremo
BH040500,Shri Kv Prasad,Indian Administrative Services,Bihar ,1988,06-04-1964,01-07-1988,Direct Recruitment,Male,Andhra Pradesh,Telugu,English Hindi,FALSE,Deemed Resigned,Supremo
BH040712,Shri Satish Singh Thakur,Indian Administrative Services,Bihar ,1988,06-01-1945,23-11-1994,By Promotion from State Civil Service,Male,Bihar,Hindi,English Hindi,FALSE,Superannuated,Supremo
BH040713,Shri Baidya Nath Mishra,Indian Administrative Services,Bihar ,1988,14-04-1947,03-11-1994,By Promotion from State Civil Service,Male,Bihar,Hindi,English Hindi,FALSE,Superannuated,Supremo
BH040715,Shri Sheo Pujan Sing,Indian Administrative Services,Bihar ,1988,01-07-1939,03-11-1994,By Promotion from State Civil Service,Male,Bihar,Hindi,English Hindi,FALSE,Superannuated,Supremo
BH040716,Shri R N Prasad Sing,Indian Administrative Services,Bihar ,1988,11-01-1940,03-11-1994,By Promotion from State Civil Service,Male,Bihar,Hindi,English Hindi,FALSE,Superannuated,Supremo
BH040719,Shri D Kumar Sharma,Indian Administrative Services,Bihar ,1988,07-01-1940,01-12-1940,By Promotion from State Civil Service,Male,Bihar,Hindi,English Hindi,FALSE,Superannuated,Supremo
BH040720,Shri Baleshwar Das,Indian Administrative Services,Bihar ,1988,29-09-1940,01-12-1988,By Promotion from State Civil Service,Male,Bihar,Hindi,English Hindi,FALSE,Superannuated,Supremo
BH040721,Shri Krishna M Pd,Indian Administrative Services,Bihar ,1988,04-01-1942,01-12-1994,By Promotion from State Civil Service,Male,Bihar,Hindi,English Hindi,FALSE,Superannuated,Supremo
BH040723,Shri Mukund D Mishra,Indian Administrative Services,Bihar ,1988,22-08-1942,01-12-1994,By Promotion from State Civil Service,Male,Bihar,Hindi,English Hindi,FALSE,Superannuated,Supremo
BH040737,Shri Krishna Kumar Mahto,Indian Administrative Services,Bihar ,1988,15-03-1947,01-12-1994,By Promotion from State Civil Service,Male,Bihar,Hindi,English Hindi,FALSE,Superannuated,Supremo
BH040739,Shri Radhey Shyam Bihari Singh,Indian Administrative Services,Bihar ,1988,01-01-1946,01-12-1994,By Promotion from State Civil Service,Male,Bihar,Hindi,English Hindi,FALSE,Superannuated,Supremo
BH040740,Shri S M S Ahmed,Indian Administrative Services,Bihar ,1988,22-06-1944,01-12-1994,By Promotion from State Civil Service,Male,Bihar,Urdu,English Hindi Urdu,FALSE,Superannuated,Supremo
BH040741,Shri Arun Bhushan Prasad,Indian Administrative Services,Bihar ,1988,01-07-1947,06-03-1995,By Promotion from State Civil Service,Male,Bihar,Hindi,English Hindi,FALSE,Superannuated,Supremo
BH040742,Shri Janaki S Prasad,Indian Administrative Services,Bihar ,1988,28-11-1946,01-09-1994,By Promotion from State Civil Service,Male,Bihar,Hindi,English Hindi,FALSE,Expired,Supremo
BH040743,Shri Ram B Pd Yadav,Indian Administrative Services,Bihar ,1988,05-01-1943,01-09-1994,By Promotion from State Civil Service,Male,Bihar,Hindi,English Hindi,FALSE,Superannuated,Supremo
CG040911,Shri Jawahar Shrivastava,Indian Administrative Services,Chhattisgarh ,1988,25-08-1952,17-06-1993,By Promotion from State Civil Service,Male,Madhya Pradesh,Hindi,N.A.,FALSE,Superannuated,Supremo
CG040917,Shri M R Sarthi,Indian Administrative Services,Chhattisgarh ,1988,29-05-1945,15-03-1994,By Promotion from State Civil Service,Male,Madhya Pradesh,Hindi,English Hindi,FALSE,Retired voluntarily,Supremo
CG040923,Shri C Behar,Indian Administrative Services,Chhattisgarh ,1988,12-12-1944,13-09-1994,By Promotion from State Civil Service,Male,Madhya Pradesh,Hindi,English,FALSE,Superannuated,Supremo
UT018600,Ms. Nandita Sehgal,Indian Administrative Services,A G M U T ,1988,15-11-1961,01-07-1988,Direct Recruitment,Female,Delhi,Hindi,English,FALSE,Deemed Resigned,Supremo
UT019011,Shri G Srivastava,Indian Administrative Services,A G M U T ,1988,01-01-1948,01-12-1995,By Promotion from State Civil Service,Male,N.A.,Hindi,English Hindi,FALSE,Superannuated,Supremo
UT019012,Shri K S Wahi,Indian Administrative Services,A G M U T ,1988,13-12-1949,01-12-1995,By Promotion from State Civil Service,Male,Delhi,Punjabi,English Punjabi,FALSE,Superannuated,Supremo
UT019013,Shri Ak Das,Indian Administrative Services,A G M U T ,1988,29-06-1940,30-11-1993,By Promotion from State Civil Service,Male,West Bengal,Bengali,Assamese Bengali English French Hindi,FALSE,Superannuated,Supremo
GJ026911,Shri Prakash S Shah,Indian Administrative Services,Gujarat ,1988,31-07-1949,12-03-1993,By Selection,Male,Gujarat,N.A.,N.A.,FALSE,Superannuated,Supremo
HP011411,Shri Trilok Chand Janartha,Indian Administrative Services,Himachal Pradesh ,1988,20-01-1952,04-10-1993,By Promotion from State Civil Service,Male,Himachal Pradesh,Hindi,English Hindi Urdu,FALSE,Superannuated,Supremo
HP011412,Dr. Diljeet Singh Dogra,Indian Administrative Services,Himachal Pradesh ,1988,05-06-1951,04-10-1993,By Promotion from State Civil Service,Male,Himachal Pradesh,N.A.,English Hindi,FALSE,Superannuated,Supremo
HY019100,Shri B Panigrahi,Indian Administrative Services,Haryana ,1988,23-01-1962,01-07-1988,Direct Recruitment,Male,Odisha,Oriya,English Hindi,FALSE,Expired,Supremo
HY019400,Shri M Ramsekhar,Indian Administrative Services,Haryana ,1988,05-07-1963,25-08-1988,Direct Recruitment,Male,Andhra Pradesh,Telugu,English Hindi,FALSE,Retired voluntarily,Supremo
HY019411,Shri Desh Raj Dhingra,Indian Administrative Services,Haryana ,1988,06-05-1948,17-06-1993,By Promotion from State Civil Service,Male,Haryana,Hindi,English Punjabi Sanskrit,FALSE,Superannuated,Supremo
HY019412,Shri Mohinder Kumar Midha,Indian Administrative Services,Haryana ,1988,10-04-1947,08-03-1994,By Promotion from State Civil Service,Male,Haryana,Hindi,English Punjabi,FALSE,Superannuated,Supremo
HY019413,Shri Hukam Singh Rana,Indian Administrative Services,Haryana ,1988,14-08-1947,15-09-1993,By Selection,Male,Haryana,Hindi,English Hindi,FALSE,Superannuated,Supremo
HY019414,Shri Ks Yadav,Indian Administrative Services,Haryana ,1988,01-12-1941,20-03-1996,By Promotion from State Civil Service,Male,Haryana,Hindi,English Hindi Punjabi,FALSE,Superannuated,Supremo
JH040711,Shri Siyaram Prasad Sinha,Indian Administrative Services,Jharkhand ,1988,15-07-1948,23-11-1994,By Promotion from State Civil Service,Male,Bihar,Hindi,English Hindi,FALSE,Superannuated,Supremo
JH040714,Shri Krishna Bihari Prasad Sinha,Indian Administrative Services,Jharkhand ,1988,15-07-1946,03-11-1994,By Promotion from State Civil Service,Male,Bihar,Hindi,English Hindi,FALSE,Superannuated,Supremo
JH040724,Shri Vaidyanath Prasad,Indian Administrative Services,Jharkhand ,1988,02-05-1945,01-12-1994,By Promotion from State Civil Service,Male,Bihar,Hindi,English Hindi,FALSE,Superannuated,Supremo
JH040738,Shri Silvestar Kulu,Indian Administrative Services,Jharkhand ,1988,13-03-1941,01-12-1994,By Promotion from State Civil Service,Male,Bihar,Hindi,English Hindi,FALSE,Superannuated,Supremo
JK007612,Shri Mohammad Ashraf,Indian Administrative Services,Jammu & Kashmir ,1988,25-08-1943,19-10-1995,By Promotion from State Civil Service,Male,Jammu & Kashmir,Urdu,English Kashmiri Urdu,FALSE,Superannuated,Supremo
JK007911,Shri Khurshid Ahmad Malik,Indian Administrative Services,Jammu & Kashmir ,1988,17-04-1946,19-10-1995,By Promotion from State Civil Service,Male,Jammu & Kashmir,Kashmiri,English Urdu,FALSE,Superannuated,Supremo
JK007912,Shri S.A.Masoodi,Indian Administrative Services,Jammu & Kashmir ,1988,05-05-1943,19-10-1995,By Promotion from State Civil Service,Male,Jammu & Kashmir,Urdu,English Kashmiri Urdu,FALSE,Superannuated,Supremo
JK007913,Shri Mumtaz Afzal,Indian Administrative Services,Jammu & Kashmir ,1988,15-03-1945,19-10-1995,By Promotion from State Civil Service,Male,Jammu & Kashmir,Kashmiri,English Persian Urdu,FALSE,Superannuated,Supremo
JK007914,Shri A.R.Mubarki,Indian Administrative Services,Jammu & Kashmir ,1988,03-06-1943,19-10-1995,By Promotion from State Civil Service,Male,Jammu & Kashmir,Urdu,English Kashmiri Urdu,FALSE,Superannuated,Supremo
JK007915,Shri Najamus Saqib,Indian Administrative Services,Jammu & Kashmir ,1988,13-11-1946,19-10-1995,By Promotion from State Civil Service,Male,Jammu & Kashmir,Kashmiri,English French Persian Urdu,FALSE,Superannuated,Supremo
JK007916,Shri Sheikh M Hussain,Indian Administrative Services,Jammu & Kashmir ,1988,25-10-1943,17-09-1998,By Promotion from State Civil Service,Male,Jammu & Kashmir,Kashmiri,English,FALSE,Superannuated,Supremo
JK905200,Shri K.L.Dhar,Indian Administrative Services,Jammu & Kashmir ,1988,13-02-1938,19-10-1995,By Promotion from State Civil Service,Male,Jammu & Kashmir,Kashmiri,English Hindi Urdu,FALSE,Superannuated,Supremo
KL017911,Shri S Ayyappan Nair,Indian Administrative Services,Kerala ,1988,07-04-1942,17-11-1994,By Promotion from State Civil Service,Male,Kerala,Malayalam,English Malayalam,FALSE,Superannuated,Supremo
OR023520,Shri N.K.Mishra,Indian Administrative Services,Odisha ,1988,01-07-1942,27-12-1995,By Promotion from State Civil Service,Male,Odisha,Oriya,English Oriya,FALSE,Retired after Extension/Re-Employment,Supremo
KN028600,Shri Yvsk Reddy,Indian Administrative Services,Karnataka ,1988,28-08-1963,01-07-1988,Direct Recruitment,Male,Andhra Pradesh,Telugu,English Hindi Tamil,FALSE,Resigned,Supremo
