Item,Count
Agrl.Economics|Horticulture-----Staff Officers,2
Textile Engg.|Textile Engg.-----N.Applicable,2
Economics|Economics|Business Admn.|Intnl Studies-----Youth Affairs & Sports,2
Agrl.Economics|Horticulture-----N.Applicable,2
Art|History-----Land Revenue Mgmt & District Admn,2
Agrl.Economics|Horticulture-----Land Revenue Mgmt & District Admn,2
Art|History-----Environment & Forests,2
History|Geography-----Finance,2
Electrical Engg.|Public Finance-----Personnel and General Administration,2
Physics|Mathematics|Hindi-----Information & Broadcasting,2
Electronics|Electronics and Communication-----Transport,2
Mathematics|Physics|Applied Optics-----Land Revenue Mgmt & District Admn,2
Physics|Dev Studies|Marketing-----Personnel and General Administration,2
Political Sc.|Political Sc.|Rural Dev-----Rural Dev,2
Mechanical|Civil Laws|Finance|Energy Studies-----,2
Economics|Economics|Dev Studies|Dev Studies-----Human Resource Dev,2
Electronics|Indl Engg.-----Land Revenue Mgmt & District Admn,2
History|Pers.Mgt.-----Social Justice & Empowerment,2
English|Business Admn.-----Personnel and General Administration,2
Surgery|Public Policy & Mgmt-----Finance,2
Economics|Electrical Engg.|National Security-----Textiles,2
Civil Engg|Law|Indus Relations|Iformation&tech|Public Admn|Philosophy-----Information & Broadcasting,2
Management|Physics|Business Admn.|Public Admn|Fincl Mgt|Management-----Water Resources,2
Political Sc.|Business Admn.|Political Sc.-----Labour & Employment,2
Intnl Relations|Chemistry|Business Admn.|Public Admn-----Rural Dev,2
Mech.engg.|Marketing|Business Admn.|Social Pol&planning -uk-----Health & Family Welfare,2
Agriculture|Fincl Mgt|Public Admn-----Urban Development,2
English|Sociology-----Labour & Employment,2
Zoology|Clic Psychology|Psychology-----Land Revenue Mgmt & District Admn,2
Surgery|Public Policy & Mgmt-----Rural Dev,2
Zoology|Law-----Agriculture & Cooperation,2
Chemistry|Botany|Governance & Dev.-----N.Applicable,2
Electronics|Indl Engg.-----Planning & Prog Implementation,2
Physics|Dev Studies|Marketing-----Land Revenue Mgmt & District Admn,2
Agriculture|Agronomy|Agronomy-----Land Revenue Mgmt & District Admn,2
Economics|Geography|Geography-----Urban Development,2
Sociology|Sociology|Sociology-----Mines & Minerals,2
Commerce|Cost Acct-----Land Revenue Mgmt & District Admn,2
Economics|Economics|Dev Studies|Dev Studies-----Agriculture & Cooperation,2
English|Sociology-----Social Justice & Empowerment,2
Electronics|Indl Engg.-----Personnel and General Administration,2
Political Sc.|Political Sc.|Public Policy-----Communications & Information Technology,2
Mech.engg.|Mech.engg.-----Rural Dev,2
English|Business Admn.-----Agriculture & Cooperation,2
Electronics-----Women & Child Dev,2
History|History|Business Admn.-----Industries,2
Electrical Engg.|Computer Tech|Management&system-----Personnel and General Administration,2
Commerce|Business Admn.-----Planning & Prog Implementation,2
Chemistry|Chemistry|Urban Planning|Globalization and Urban Dev-----Industries,2
Hindi|Political Sc.-----N.Applicable,2
Veterinary Sc.|Livestock Production|Economics-----Personnel and General Administration,2
Auditing|Auditing-----Land Revenue Mgmt & District Admn,2
English|Business Admn.-----Social Justice & Empowerment,2
Political Sc.|Business Admn.|Political Sc.-----Information & Broadcasting,2
Veterinary Sc.|French|Business Admn.|Veterinary Sc.-----Human Resource Dev,2
Intnl Trade.|Commerce|Commerce-----Health & Family Welfare,2
Chemistry|Botany|Governance & Dev.-----Women & Child Dev,2
History|Contract and Taxation Law-----Staff Officers,2
Intnl Trade.|Commerce|Commerce-----Rural Dev,2
Hindi|Hindi-----Urban Development,2
Physics|Sociology-----Staff Officers,2
Mech.engg.-----Parliamentary Affairs,2
Company Law|Management-----Land Revenue Mgmt & District Admn,2
"Intnl Trade.|Commerce|Commerce-----Consumer Affairs, Food & PD",2
English|Sociology-----Environment & Forests,2
Intnl Trade.|Commerce|Commerce-----Finance,2
Civil Engg|Law|Indus Relations|Iformation&tech|Public Admn|Philosophy-----Land Revenue Mgmt & District Admn,2
Medicine|Public Health-----Land Revenue Mgmt & District Admn,2
Electrical Engg.|Public Policy|Science|Public Eco.-----Environment & Forests,2
English|Business Admn.-----N.Applicable,2
Civil Engg|Law|Indus Relations|Iformation&tech|Public Admn|Philosophy-----Communications & Information Technology,2
Accountancy|Law|Public Admn-----Human Resource Dev,2
English|Business Admn.-----Human Resource Dev,2
Civil Engg|Law|Indus Relations|Iformation&tech|Public Admn|Philosophy-----Personnel and General Administration,2
Civil Engg|Law|Indus Relations|Iformation&tech|Public Admn|Philosophy-----Human Resource Dev,2
Electrical Engg.|Public Policy|Science|Public Eco.-----Personnel and General Administration,2
"English|Psychology-----Consumer Affairs, Food & PD",2
Agriculture-----Textiles,2
Political Sc.|Public Service|Political Studies|Political Sc.-----Local Self Govt,2
Electrical Engg.|Public Policy|Science|Public Eco.-----Staff Officers,2
Botany|Company Law|N.A.|Accountancy|Dev Adm-----Home,2
Chemistry|Management|Chemistry|Chemistry-----Land Revenue Mgmt & District Admn,2
English|Law|Tourism|Journalism|Business Admn.|Law|Policy Analysis|Intellectual Property Rights-----Home,2
N.A.|German|Law|Finance|Chemistry-----Protocol,2
Civil Engg|Public Admn|Business Admn.-----Transport,2
Civil Engg|Public Admn|Business Admn.-----,2
Botany|Company Law|N.A.|Accountancy|Dev Adm-----Land Revenue Mgmt & District Admn,2
"Mech.engg.|Public Service-----Consumer Affairs, Food & PD",2
N.A.|German|Law|Finance|Chemistry-----Finance,2
Accountancy|Law|Public Admn-----Finance,2
Physics|Physics|Development-----Human Resource Dev,2
N.A.|German|Law|Finance|Chemistry-----Land Revenue Mgmt & District Admn,2
Political Sc.|Political Sc.|Political Sc.|Political Sc.|Political Sc.|From Green REvolution to Liberalissation Grown of-----N.Available,2
N.A.|German|Law|Finance|Chemistry-----Industries,2
Electrical Engg.|Management&system-----Urban Development,2
Botany|Company Law|N.A.|Accountancy|Dev Adm-----Personnel and General Administration,2
Mech.engg.|Public Service-----Urban Development,2
Economics|Dev Studies|History-----Human Resource Dev,2
Physics|Business Admn.|Management|Public Admn-----Personnel and General Administration,2
Zoology|Zoology|Forestry-----Agriculture & Cooperation,2
Physics|Business Admn.|Management|Public Admn-----Finance,2
Economics|Dev Studies|History-----Land Revenue Mgmt & District Admn,2
Psychology|Human Res Mngmt-----Personnel and General Administration,2
Agriculture|Agrl.Economics-----Water Resources,2
Agriculture|Agrl.Economics-----Urban Development,2
Civil Engg|Business Admn.|Law-----Urban Development,2
Gandhian Studies|Journalism|Tamil|Tamil-----Law & Justice,2
English Lit|English Lit-----,2
English|Project Mgt|English|English-----Land Revenue Mgmt & District Admn,2
English|Project Mgt|English|English-----Industries,2
Electrical Engg.|Law|Health Management|Development Economics-----Water Resources,2
English|Project Mgt|English|English-----Urban Development,2
English|Project Mgt|English|English-----Local Self Govt,2
English|Project Mgt|English|English-----Finance,2
Electrical Engg.|Law|Health Management|Development Economics-----Land Revenue Mgmt & District Admn,2
Agriculture|Agrl.Economics-----Industries,2
Political Sc.|Public Sc.& Managt|Political Sc.|Political Sc.-----Land Revenue Mgmt & District Admn,2
Electrical Engg.|Law|Health Management|Development Economics-----N.Applicable,2
Political Sc.|Law|Business Admn.-----Home,2
Physics (hons)|Psychology|French|Psychology|Public Policy-----Human Resource Dev,2
Physics (hons)|Psychology|French|Psychology|Public Policy-----Local Self Govt,2
Commerce|Business Admn.-----Agriculture & Cooperation,2
Civil Engg|Civil Engg|Management-----Personnel and General Administration,2
Physics|Physics|Business Admn.-----Transport,2
Civil Engg|Business Admn.|Law-----Personnel and General Administration,2
Banking|Economics|Law|Economics|Public Sc.& Managt|Economics-----Public Administration,2
Commerce|Business Admn.-----,2
Electrical Engg.|Computer Sc|Computer Sc-----Land Revenue Mgmt & District Admn,2
Economics|Electrical Engg.|National Security-----Land Revenue Mgmt & District Admn,2
Economics|Electrical Engg.|National Security-----Finance,2
Zoology|Botany|Botany-----Land Revenue Mgmt & District Admn,2
Civil Engg|Public Admn|Business Admn.-----Social Justice & Empowerment,2
Banking|Economics|Law|Economics|Public Sc.& Managt|Economics-----Energy,2
Agriculture|Plant Breeding-----Local Self Govt,2
English|Applied Eco.|English-----N.Applicable,2
History|Economics|Public Policy|Social Sciences-----N.Applicable,2
Economics|Electrical Engg.|National Security-----Personnel and General Administration,2
Electrical Engg.|Applied Eco.|Business Admn.-----Communications & Information Technology,2
Commerce|Journalism|Management-----Land Revenue Mgmt & District Admn,2
Agronomy|Agronomy|Agronomy-----N.Applicable,2
Commerce|History|Dev Studies-----Land Revenue Mgmt & District Admn,2
Management|Human Res Mngmt|Business Admn.|Political Sc.-----Women & Child Dev,2
Zoology|Law|Chemistry-----Land Revenue Mgmt & District Admn,2
Civil Engg|Public Admn|Business Admn.-----Human Resource Dev,2
Chemistry|Chemistry|Forensic Sc.|French|Management-----Land Revenue Mgmt & District Admn,2
Electrical Engg.|Computer Sc|Computer Sc-----,2
Electrical Engg.|Applied Eco.|Business Admn.-----Finance,2
Mathematics|Mathematics|Development Economics-----Land Revenue Mgmt & District Admn,2
"Civil Engg|Public Admn|Business Admn.-----Consumer Affairs, Food & PD",2
Botany-----Local Self Govt,2
Mathematics|Mathematics|Development Economics-----Finance,2
Electronics|Business Admn.|Business Finance-----Finance,2
Banking|Economics|Law|Economics|Public Sc.& Managt|Economics-----Finance,2
Chemistry|Chemistry|Forensic Sc.|French|Management-----,2
Zoology|Zoology|Admn.Sc.&Dev Problem|Zoology-----Agriculture & Cooperation,2
Cost Acct|History|Political Sc.-----Social Justice & Empowerment,2
Chemistry|Chemistry|Forensic Sc.|French|Management-----N.Applicable,2
Zoology|Zoology|Admn.Sc.&Dev Problem|Zoology-----N.Applicable,2
Botany|Zoology-----Energy,2
Civil Engg|Public Admn|Business Admn.-----Agriculture & Cooperation,2
Banking|Economics|Law|Economics|Public Sc.& Managt|Economics-----Human Resource Dev,2
English|Law|Tourism|Journalism|Business Admn.|Law|Policy Analysis|Intellectual Property Rights-----Land Revenue Mgmt & District Admn,2
Geography|Law|Geography-----Labour & Employment,2
Accountancy|Law-----Staff Officers,2
Gandhian Studies|History|Economics|Public Admn-----Personnel and General Administration,2
Management|Human Res Mngmt|Business Admn.|Political Sc.-----Health & Family Welfare,2
Political Sc.|Political Sc.|Rural Dev-----Human Resource Dev,2
Mech.engg.|Business Admn.-----Textiles,2
Mathematics|Mathematics|Development Economics-----Industries,2
Medicine|Administrative Science-----Land Revenue Mgmt & District Admn,2
Botany|Zoology-----Human Resource Dev,2
Zoology|Botany|Botany-----Finance,2
Medicine-----Mines & Minerals,2
Electrical Engg.|Management|French|Economics|Development Mgmt-----Finance,2
Economics|Law|Finance|Economics|Intnl Trade.-----Commerce,2
Physics|Behav Science|Intnl.law|Philosophy-----Labour & Employment,2
Physics|Physics|Anthropology-----Agriculture & Cooperation,2
Agriculture|Management-----Agriculture & Cooperation,2
Physics|Physics|Anthropology-----Home,2
Mech.engg.|Mech.engg.|Social Sciences-----Rural Dev,2
Geography|Law|Geography-----Social Justice & Empowerment,2
Physics|Behav Science|Intnl.law|Philosophy-----Textiles,2
Physics|Physics|Anthropology-----Human Resource Dev,2
Geography|Law|Geography-----Human Resource Dev,2
History|Ancient History-----Industries,2
Electrical Engg.|Management|French|Economics|Development Mgmt-----Planning & Prog Implementation,2
Electronics-----Environment & Forests,2
Mech.engg.|Law|Business Admn.-----Urban Development,2
Zoology|Environmental Science|Zoology-----Water Resources,2
Medicine|Econometrics-----Land Revenue Mgmt & District Admn,2
Hindi|Public Policy|Political Sc.-----Local Self Govt,2
Mech.engg.-----Chemicals & Fertilizers,2
Mech.engg.|Management|Business Admn.-----Water Resources,2
Electronics-----External Affairs,2
Economics|Law|Finance|Economics|Intnl Trade.-----Urban Development,2
Electrical Engg.|Management|French|Economics|Development Mgmt-----N.Applicable,2
Zoology|English|Natural Resource|Administrative Mgmt-----,2
"Human Res Mngmt|Animal Husby-----Consumer Affairs, Food & PD",2
Ancient History|Political Sc.-----Land Revenue Mgmt & District Admn,2
Political Sc.-----Corporate Management (New),2
Mathematics|Geology-----Environment & Forests,2
Zoology|Law|Management|Public Policy-----Personnel and General Administration,2
English|History|History-----Human Resource Dev,2
Zoology|Law|Management|Public Policy-----Finance,2
English|Public Admn|Philosophy-----Labour & Employment,2
English|Physics-----Finance,2
Electrical Engg.|Iformation&tech|Business Admn.|Public Admn-----Industries,2
Civil Engg|Civil Engg-----Commerce,2
Civil Engg|Civil Engg-----Water Resources,2
Electronics|Indl.mgt-----Land Revenue Mgmt & District Admn,2
Agriculture|Agronomy|Rural Dev|Agriculture-----Finance,2
Zoology|English|Natural Resource|Administrative Mgmt-----Land Revenue Mgmt & District Admn,2
Human Res Mngmt|Animal Husby-----Local Self Govt,2
Statistics|Statistics|Management-----Personnel and General Administration,2
History|Dev Mgt-----Agriculture & Cooperation,2
Mech.engg.|Management|Business Admn.-----Home,2
Economics|Law|Law-----Personnel and General Administration,2
Agriculture|Management-----Urban Development,2
Economics|Economics|Social Pol&planning -uk-----Urban Development,2
Electrical Engg.|Iformation&tech|Business Admn.|Public Admn-----Finance,2
History|Ancient History-----Agriculture & Cooperation,2
Electronics|Indl.mgt-----Home,2
Statistics|Statistics|Management-----Home,2
Mech.engg.|Management|Business Admn.-----Land Revenue Mgmt & District Admn,2
Agriculture|Plant Breeding-----Industries,2
Physics|Geology-----Human Resource Dev,2
Electrical Engg.|Computer Tech-----Urban Development,2
Social Services|Law-----Land Revenue Mgmt & District Admn,2
Botany|Intnl Trade.|Economics-----Land Revenue Mgmt & District Admn,2
Physics|Geology-----Agriculture & Cooperation,2
Animal Husby-----Rural Dev,2
Hindi|Public Policy|Political Sc.-----Finance,2
Civil Engg|Structural Engg|Public Admn-----Land Revenue Mgmt & District Admn,2
History|Ancient History-----Home,2
Electronics|Indl.mgt-----Human Resource Dev,2
Civil Engg|System Mgt|Ecology-----Transport,2
Agriculture|Agronomy|Rural Dev|Agriculture-----Land Revenue Mgmt & District Admn,2
History|Business Admn.|History-----Public Works,2
Accountancy|Accountancy-----Finance,2
Agriculture|Plant Breeding-----Rural Dev,2
Economics|Philosophy-----Energy,2
Economics|Law|Law-----Land Revenue Mgmt & District Admn,2
Zoology|Environmental Science|Zoology-----Information & Broadcasting,2
Civil Engg|System Mgt|Ecology-----Personnel and General Administration,2
Hindi|Public Policy|Political Sc.-----N.Applicable,2
Economics|Economics|Social Pol&planning -uk-----Environment & Forests,2
Agriculture|Horticulture|Horticulture|Financial Management|Public Mgmt & Policy-----Finance,2
Electronics and Communication|Financial Management|Public Management-----Land Revenue Mgmt & District Admn,2
Commerce|Commerce|Economics-----Agriculture & Cooperation,2
Physics|Behav Science|Intnl.law|Philosophy-----Land Revenue Mgmt & District Admn,2
Chemistry|History-----Service Commn,1
Political Sc.|Law-----Industries,1
History|History|Intnl Trade.|Quality Management-----Agriculture & Cooperation,1
Sociology-----Service Commn,1
Finance|Power Sys Engg|Computer Networks|Power Electronics-----Land Revenue Mgmt & District Admn,1
History|N.A.-----Transport,1
Political Sc.|Economics-----Communications & Information Technology,1
History|N.A.-----Energy,1
Cost Acct-----Urban Development,1
Commerce|Cost Acct|Business Admn.|Management-----Urban Development,1
Biology|Chemistry|Economics-----N.Applicable,1
Cost Acct-----Rural Dev,1
Cost Acct-----Land Revenue Mgmt & District Admn,1
Cost Acct-----Local Self Govt,1
Sociology-----Urban Development,1
Science|Physics-----Transport,1
Finance|Power Sys Engg|Computer Networks|Power Electronics-----Finance,1
Science|Physics-----Women & Child Dev,1
Science|Physics-----Social Justice & Empowerment,1
Agriculture|Law|Law-----Land Revenue Mgmt & District Admn,1
Agriculture|Law|Law-----Transport,1
Agriculture-----Law & Justice,1
Geology|Economics-----Land Revenue Mgmt & District Admn,1
Electrical Engg.|Electrical Engg.|Electronics and Communication-----Industries,1
Medicine-----Service Commn,1
Electrical Engg.|Electrical Engg.|Electronics and Communication-----Urban Development,1
Commerce|Cost Acct|Business Admn.|Management-----Personnel and General Administration,1
Commerce|Cost Acct|Business Admn.|Management-----N.Applicable,1
N.A.|History-----Finance,1
Commerce|Cost Acct|Business Admn.|Management-----Finance,1
Commerce|Cost Acct|Business Admn.|Management-----Communications & Information Technology,1
Public Admn|Accountancy|Law|N.A.|Social Sciences|Economics-----Protocol,1
"Public Admn|Accountancy|Law|N.A.|Social Sciences|Economics-----Consumer Affairs, Food & PD",1
Commerce|Cost Acct|Business Admn.|Management-----,1
Metallurgy Engg-----Communications & Information Technology,1
Chemical Engg|Chemical Engg|Management-----Planning & Prog Implementation,1
Electrical Engg.|Electrical Engg.|Electronics and Communication-----Human Resource Dev,1
Electrical Engg.|Electrical Engg.|Electronics and Communication-----Land Revenue Mgmt & District Admn,1
Computer Sc|Philosophy-----Culture,1
Applied Geology-----Rural Dev,1
Applied Geology-----Commerce,1
Applied Geology-----Agriculture & Cooperation,1
Applied Geology-----Finance,1
Metallurgy Engg-----Science & Technology,1
Public Admn|Accountancy|Law|N.A.|Social Sciences|Economics-----Public Works,1
Chemical Engg|Finance|Globalization and Urban Dev|Intnl Economics-----Communications & Information Technology,1
Chemical Engg|Finance|Globalization and Urban Dev|Intnl Economics-----Rural Dev,1
Chemical Engg|Finance|Globalization and Urban Dev|Intnl Economics-----,1
Chemical Engg|Chemical Engg|Management-----,1
Chemical Engg|Chemical Engg|Management-----N.Applicable,1
N.A.|History-----Urban Development,1
Electronics|Marketing|Electronics|Physics-----Culture,1
Electrical Engg.|Systems Science & Automation-----Personnel and General Administration,1
Intnl Relations|Economics|Economics-----Land Revenue Mgmt & District Admn,1
English Lit|Philosophy-----Human Resource Dev,1
German|English|English-----Information & Broadcasting,1
Electronics|Marketing|Electronics|Physics-----Land Revenue Mgmt & District Admn,1
Electronics|Marketing|Electronics|Physics-----Commerce,1
Electronics|Marketing|Electronics|Physics-----Mines & Minerals,1
English Lit|Law-----Mines & Minerals,1
German|English|English-----Culture,1
German|English|English-----Tourism,1
English Lit|Law-----Energy,1
History|Law|Economics-----Labour & Employment,1
Chemistry|History-----Defence,1
Chemistry|Physics-----Health & Family Welfare,1
Sociology|Mechanical|Pali-----Social Justice & Empowerment,1
Geography|Mathematics-----N.A.,1
Russian|Inorg.chemistry-----Social Justice & Empowerment,1
Chemistry|Law|Law-----Finance,1
Chemistry|Law|Law-----Urban Development,1
Physics|Botany-----Textiles,1
Physics|Botany-----Women & Child Dev,1
Physics|Botany-----Agriculture & Cooperation,1
Geology|Economics-----,1
Physics|Botany-----Finance,1
Cost Acct-----Agriculture & Cooperation,1
German|English|English-----Defence,1
Sociology|Mechanical|Pali-----Urban Development,1
Electrical Engg.|Electrical Engg.|Electronics and Communication-----Transport,1
Electrical Engg.|Systems Science & Automation-----Industries,1
Medical&dental|English Lit-----Agriculture & Cooperation,1
Finance|Power Sys Engg|Computer Networks|Power Electronics-----N.Applicable,1
Finance|Power Sys Engg|Computer Networks|Power Electronics-----Transport,1
History|History|Intnl Trade.|Quality Management-----Labour & Employment,1
"History|N.A.-----Consumer Affairs, Food & PD",1
History|History|Intnl Trade.|Quality Management-----Staff Officers,1
History|History|Intnl Trade.|Quality Management-----Social Justice & Empowerment,1
Electrical Engg.|Marketing-----Water Resources,1
Electrical Engg.|Marketing-----N.Applicable,1
Electrical Engg.|Marketing-----Culture,1
Economics|Development Economics|Economics-----Defence,1
Electrical Engg.|Marketing-----Urban Development,1
Cost Acct-----Public Works,1
Commn.Engg-----Industries,1
Medicine-----External Affairs,1
History|N.A.-----Agriculture & Cooperation,1
Finance|Power Sys Engg|Computer Networks|Power Electronics-----Urban Development,1
French|Economics|Law-----Social Justice & Empowerment,1
French|Economics|Law-----Home,1
Art|English-----Social Justice & Empowerment,1
Art|English-----Information & Broadcasting,1
Art|English-----Transport,1
Law|Public Admn-----N.Applicable,1
Commn.Engg-----Labour & Employment,1
Commn.Engg-----Textiles,1
Law|Anthropology|Geography-----Home,1
English|Economics-----Communications & Information Technology,1
"Law|Anthropology|Geography-----Consumer Affairs, Food & PD",1
Statistics|Law|Economics-----Youth Affairs & Sports,1
Cooperation|Economic Dev.|Political Sc.-----Finance,1
Cooperation|Economic Dev.|Political Sc.-----Law & Justice,1
Chemistry|History-----Tourism,1
Chemistry|History-----Personnel and General Administration,1
English Lit|Law|Political Sc.-----Social Justice & Empowerment,1
Business Admn.|French|Physics|Mathematics-----Land Revenue Mgmt & District Admn,1
Dev Adm|English|Law|Economics-----Industries,1
Chemistry|Law|History|Political Sc.-----Social Justice & Empowerment,1
Statistics|Law|Economics-----Human Resource Dev,1
English|Political Sc.-----Defence,1
Mathematics|Economics|English Lit-----Health & Family Welfare,1
"English Lit|English-----Consumer Affairs, Food & PD",1
Chemistry|Law|History|Political Sc.-----Rural Dev,1
Statistics|Law|Economics-----Land Revenue Mgmt & District Admn,1
Statistics|Law|Economics-----Transport,1
History|Economics|Political Sc.-----Social Justice & Empowerment,1
Economics|Law|History-----Labour & Employment,1
History|Economics|Political Sc.-----Energy,1
Russian|Business Admn.|Chemistry-----Public Works,1
English Lit|Law|Economics-----Land Revenue Mgmt & District Admn,1
Chemistry|Law|History|Political Sc.-----Finance,1
Statistics|Law|Economics-----Textiles,1
Statistics|Law|Economics-----Environment & Forests,1
English Lit|Law|Economics-----Agriculture & Cooperation,1
Indl.dev.|Mathematics|Physics|Public Admn-----Urban Development,1
Mathematics|History-----Energy,1
Cost Acct|English|Law|Economic Dev.-----Land Revenue Mgmt & District Admn,1
History|Economics|Political Sc.-----Human Resource Dev,1
History|Economics|Political Sc.-----Youth Affairs & Sports,1
Political Sc.|English-----Tourism,1
Political Sc.|English-----Public Works,1
English-----Defence,1
French|English|English Lit|History|Philosophy-----Planning & Prog Implementation,1
Political Sc.|English-----Agriculture & Cooperation,1
Statistics|Law|Economics-----Rural Dev,1
History|Economics|Political Sc.-----Mines & Minerals,1
History|Economics|Political Sc.-----Information & Broadcasting,1
"Political Sc.|English-----Consumer Affairs, Food & PD",1
French|English|English Lit|History|Philosophy-----Land Revenue Mgmt & District Admn,1
Cost Acct|English|Law|Economic Dev.-----Home,1
French|English|English Lit|History|Philosophy-----Health & Family Welfare,1
French|English|English Lit|History|Philosophy-----Rural Dev,1
French|English|English Lit|History|Philosophy-----Science & Technology,1
Political Sc.|English-----Human Resource Dev,1
Statistics|Law|Economics-----Urban Development,1
French|English|English Lit|History|Philosophy-----N.Applicable,1
Mathematics|Economics|English Lit-----Information & Broadcasting,1
History|Economics|Political Sc.-----Corporate Management (New),1
Mathematics|Economics|English Lit-----N.Applicable,1
Statistics|Law|Economics-----Home,1
Education|N.A.|History-----Home,1
English|Law|Economics|English-----Labour & Employment,1
Rural Dev|Physics|Economics|Physics-----Industries,1
Rural Dev|Physics|Economics|Physics-----Transport,1
Rural Dev|Physics|Economics|Physics-----Social Justice & Empowerment,1
Law|Economics-----Petroleum & Natural Gas,1
Economics|Economics|Political Sc.-----Environment & Forests,1
Economics|Economics|Political Sc.-----Labour & Employment,1
Mathematics|Economics|English Lit-----Environment & Forests,1
Law|Sanskrit-----Industries,1
History|Economics|Political Sc.-----Tourism,1
Dev Adm|English|Law|Economics-----N.Applicable,1
Rural Economics|Economics|Political Sc.-----Industries,1
Medical&dental|English Lit-----Personnel and General Administration,1
Rural Dev|Physics|Economics|Physics-----Finance,1
Public Admn|Accountancy|Law|N.A.|Social Sciences|Economics-----Land Revenue Mgmt & District Admn,1
Sanskrit|Taxation-----Youth Affairs & Sports,1
Sanskrit|Taxation-----Corporate Management (New),1
Sanskrit|Taxation-----Finance,1
Education|English-----ST Welfare,1
Geography-----ST Welfare,1
Geography-----Communications & Information Technology,1
Geography-----Law & Justice,1
Medical&dental|English Lit-----Labour & Employment,1
Medical&dental|English Lit-----Urban Development,1
Public Admn|Accountancy|Law|N.A.|Social Sciences|Economics-----Service Commn,1
Chemistry|Law|History|Political Sc.-----Corporate Management (New),1
Economics|Economics|Political Sc.-----Women & Child Dev,1
Law|Sanskrit-----Rural Dev,1
Economics|Agrl.Economics-----Social Justice & Empowerment,1
Dev Adm|Political Sc.|Political Sc.-----Finance,1
Mathematics|History-----Personnel and General Administration,1
Russian|Political Sc.|Political Sc.-----Labour & Employment,1
English Lit|Public Admn-----Energy,1
"Hindi|Mathematics|Physics-----Consumer Affairs, Food & PD",1
Hindi|Mathematics|Physics-----Personnel and General Administration,1
Economics|History-----Defence,1
English Lit|Philosophy-----Planning & Prog Implementation,1
Economics|Agrl.Economics-----Rural Dev,1
Manpower Plg|Mathematics-----N.Applicable,1
Chemistry|Law|History|Political Sc.-----Land Revenue Mgmt & District Admn,1
Chemistry|Law|History|Political Sc.-----Personnel and General Administration,1
Chemistry|Law|History|Political Sc.-----Protocol,1
Mathematics|History-----Commerce,1
History|English-----Social Justice & Empowerment,1
Economics|Law|History-----Personnel and General Administration,1
Chemistry|Business Admn.-----N.Applicable,1
Mathematics|Economics|English Lit-----Rural Dev,1
Chemistry|Business Admn.-----Textiles,1
Intnl Relations|Economics|Economics-----Human Resource Dev,1
English Lit|Anthropology-----Home,1
Physics|Physics|Public Admn-----Information & Broadcasting,1
Public Admn|Economics|Law-----Finance,1
Physics|Mathematics|Technology-----Land Revenue Mgmt & District Admn,1
Planning.|Dev Adm|Economics|Statistics-----Information & Broadcasting,1
"English Lit|Anthropology-----Consumer Affairs, Food & PD",1
History|Law-----ST Welfare,1
English Lit|Anthropology-----Land Revenue Mgmt & District Admn,1
Economics|Business Admn.|Economic Dev.|Business Admn.-----Finance,1
Planning.|Dev Adm|Economics|Statistics-----Corporate Management (New),1
Hindi|English|Economics-----Personnel and General Administration,1
History|English-----Women & Child Dev,1
Accountancy|Law|Business Admn.|Commerce-----Textiles,1
Music|Physics|Physics-----Transport,1
Italian|French|Physics|Physics-----Finance,1
Music|Physics|Physics-----Energy,1
Italian|French|Physics|Physics-----N.Applicable,1
History|English-----Corporate Management (New),1
Accountancy|Law|Business Admn.|Commerce-----Land Revenue Mgmt & District Admn,1
History|English-----Youth Affairs & Sports,1
Hindi|English|Economics-----ST Welfare,1
Physics|Mathematics|Physics-----Rural Dev,1
Physics|Mathematics|Physics-----Tourism,1
Education|English-----Home,1
Economics|Law|Economics|Economics|Public Admn-----Transport,1
Accountancy-----Protocol,1
Economics|Law|Economics|Social Planning-----Environment & Forests,1
Physics|Mathematics|Technology-----Finance,1
Hindi|English|Economics-----Transport,1
"Music|Physics|Physics-----Consumer Affairs, Food & PD",1
Urban Planning|English|Law|Economics-----Corporate Management (New),1
Physics|Mathematics|Technology-----Home,1
Spanish|Geography|Law|Geography-----N.Applicable,1
English Lit|Law|English Lit-----Defence,1
English|Economics-----Defence,1
Accountancy|Law|Business Admn.|Commerce-----Finance,1
Economics|Economics|Epidemiology-----Commerce,1
Economics|Economics|Epidemiology-----Health & Family Welfare,1
History|Economics|History|Fine Arts-----Labour & Employment,1
Economics|Economics|Epidemiology-----Environment & Forests,1
History|History|History-----Industries,1
French|Philosophy|Business Admn.|Philosophy-----Defence,1
French|Intrnl Business|Geology|Economics|Geology|Intrnl Business-----Petroleum & Natural Gas,1
History|Economics|History|Fine Arts-----Planning & Prog Implementation,1
Mathematics|Economic Dev.|Mathematics|Commerce-----Agriculture & Cooperation,1
Economics|Political Sc.|Public Admn-----Social Justice & Empowerment,1
Statistics-----Home,1
Economics|Law|Economics|Social Planning-----Industries,1
French|Intrnl Business|Geology|Economics|Geology|Intrnl Business-----Corporate Management (New),1
Statistics-----Urban Development,1
French|Intrnl Business|Geology|Economics|Geology|Intrnl Business-----Urban Development,1
French|Intrnl Business|Geology|Economics|Geology|Intrnl Business-----Communications & Information Technology,1
French|Intrnl Business|Geology|Economics|Geology|Intrnl Business-----Social Justice & Empowerment,1
French|Intrnl Business|Geology|Economics|Geology|Intrnl Business-----Labour & Employment,1
